,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.012*""text""","0.016*""thanks""","0.011*""code""","0.055*""nan""","0.030*""essay""",0.012,"""text""",0.016,"""thanks""",0.011,"""code""",0.055,"""nan""",0.030,"""essay"""
1,"0.012*""comment""","0.012*""lol""","0.010*""email""","0.017*""word""","0.026*""teacher""",0.012,"""comment""",0.012,"""lol""",0.010,"""email""",0.017,"""word""",0.026,"""teacher"""
2,"0.011*""answer""","0.011*""point""","0.010*""month""","0.012*""tool""","0.022*""school""",0.011,"""answer""",0.011,"""point""",0.010,"""month""",0.012,"""tool""",0.022,"""school"""
3,"0.011*""job""","0.011*""human""","0.010*""opinion""","0.011*""book""","0.020*""class""",0.011,"""job""",0.011,"""human""",0.010,"""opinion""",0.011,"""book""",0.020,"""class"""
4,"0.010*""model""","0.010*""output""","0.010*""argument""","0.010*""character""","0.019*""kid""",0.010,"""model""",0.010,"""output""",0.010,"""argument""",0.010,"""character""",0.019,"""kid"""
5,"0.010*""something""","0.010*""story""","0.009*""mind""","0.010*""error""","0.018*""calculator""",0.010,"""something""",0.010,"""story""",0.009,"""mind""",0.010,"""error""",0.018,"""calculator"""
6,"0.008*""post""","0.010*""stuff""","0.009*""experience""","0.009*""number""","0.018*""work""",0.008,"""post""",0.010,"""stuff""",0.009,"""experience""",0.009,"""number""",0.018,"""work"""
7,"0.008*""data""","0.009*""day""","0.009*""matter""","0.009*""version""","0.017*""paper""",0.008,"""data""",0.009,"""day""",0.009,"""matter""",0.009,"""version""",0.017,"""paper"""
8,"0.008*""response""","0.008*""source""","0.009*""name""","0.009*""field""","0.014*""math""",0.008,"""response""",0.008,"""source""",0.009,"""name""",0.009,"""field""",0.014,"""math"""
9,"0.007*""year""","0.008*""someone""","0.009*""skill""","0.008*""value""","0.014*""idea""",0.007,"""year""",0.008,"""someone""",0.009,"""skill""",0.008,"""value""",0.014,"""idea"""
10,"0.007*""everyone""","0.007*""language""","0.008*""difference""","0.008*""context""","0.014*""assignment""",0.007,"""everyone""",0.007,"""language""",0.008,"""difference""",0.008,"""context""",0.014,"""assignment"""
11,"0.007*""information""","0.007*""person""","0.008*""service""","0.008*""anything""","0.012*""plagiarism""",0.007,"""information""",0.007,"""person""",0.008,"""service""",0.008,"""anything""",0.012,"""plagiarism"""
12,"0.006*""game""","0.007*""others""","0.008*""share""","0.008*""yeah""","0.012*""detector""",0.006,"""game""",0.007,"""others""",0.008,"""share""",0.008,"""yeah""",0.012,"""detector"""
13,"0.006*""technology""","0.007*""end""","0.007*""friend""","0.008*""reason""","0.011*""chatgpt""",0.006,"""technology""",0.007,"""end""",0.007,"""friend""",0.008,"""reason""",0.011,"""chatgpt"""
14,"0.006*""issue""","0.007*""gpt""","0.007*""style""","0.007*""cheating""","0.010*""sentence""",0.006,"""issue""",0.007,"""gpt""",0.007,"""style""",0.007,"""cheating""",0.010,"""sentence"""
15,"0.006*""tool""","0.007*""something""","0.007*""structure""","0.007*""detection""","0.010*""lesson""",0.006,"""tool""",0.007,"""something""",0.007,"""structure""",0.007,"""detection""",0.010,"""lesson"""
16,"0.005*""user""","0.006*""lot""","0.007*""example""","0.007*""google""","0.010*""grade""",0.005,"""user""",0.006,"""lot""",0.007,"""example""",0.007,"""google""",0.010,"""grade"""
17,"0.005*""problem""","0.006*""machine""","0.007*""statement""","0.007*""grammar""","0.009*""education""",0.005,"""problem""",0.006,"""machine""",0.007,"""statement""",0.007,"""grammar""",0.009,"""education"""
18,"0.005*""conversation""","0.006*""paragraph""","0.007*""check""","0.007*""account""","0.009*""use""",0.005,"""conversation""",0.006,"""paragraph""",0.007,"""check""",0.007,"""account""",0.009,"""use"""
19,"0.005*""everything""","0.006*""one""","0.006*""hour""","0.007*""try""","0.008*""problem""",0.005,"""everything""",0.006,"""one""",0.006,"""hour""",0.007,"""try""",0.008,"""problem"""
