,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.004*""book""","0.003*""elementary""","0.005*""book""","0.014*""nan""","0.003*""book""",0.004,"""book""",0.003,"""elementary""",0.005,"""book""",0.014,"""nan""",0.003,"""book"""
1,"0.004*""room""","0.003*""server""","0.004*""room""","0.004*""post""","0.002*""trick""",0.004,"""room""",0.003,"""server""",0.004,"""room""",0.004,"""post""",0.002,"""trick"""
2,"0.002*""bard""","0.003*""multiple""","0.004*""box""","0.003*""deleted""","0.002*""half""",0.002,"""bard""",0.003,"""multiple""",0.004,"""box""",0.003,"""deleted""",0.002,"""half"""
3,"0.002*""read""","0.003*""request""","0.003*""apple""","0.003*""bing""","0.002*""answer""",0.002,"""read""",0.003,"""request""",0.003,"""apple""",0.003,"""bing""",0.002,"""answer"""
4,"0.002*""still""","0.003*""user""","0.003*""expression""","0.003*""calculator""","0.002*""bing""",0.002,"""still""",0.003,"""user""",0.003,"""expression""",0.003,"""calculator""",0.002,"""bing"""
5,"0.002*""gpt""","0.002*""friendly""","0.002*""read""","0.002*""book""","0.002*""read""",0.002,"""gpt""",0.002,"""friendly""",0.002,"""read""",0.002,"""book""",0.002,"""read"""
6,"0.002*""dumb""","0.002*""repetitive""","0.002*""blue""","0.002*""chat""","0.002*""xd""",0.002,"""dumb""",0.002,"""repetitive""",0.002,"""blue""",0.002,"""chat""",0.002,"""xd"""
7,"0.002*""number""","0.002*""experiment""","0.002*""fact""","0.002*""try""","0.002*""least""",0.002,"""number""",0.002,"""experiment""",0.002,"""fact""",0.002,"""try""",0.002,"""least"""
8,"0.002*""material""","0.002*""moderator""","0.002*""still""","0.002*""read""","0.002*""bad""",0.002,"""material""",0.002,"""moderator""",0.002,"""still""",0.002,"""read""",0.002,"""bad"""
9,"0.002*""saying""","0.002*""discord""","0.002*""red""","0.002*""generate""","0.002*""chat""",0.002,"""saying""",0.002,"""discord""",0.002,"""red""",0.002,"""generate""",0.002,"""chat"""
10,"0.002*""moood""","0.002*""prevent""","0.002*""elementary""","0.002*""similar""","0.002*""black""",0.002,"""moood""",0.002,"""prevent""",0.002,"""elementary""",0.002,"""similar""",0.002,"""black"""
11,"0.002*""ai""","0.002*""order""","0.002*""lid""","0.002*""free""","0.002*""poem""",0.002,"""ai""",0.002,"""order""",0.002,"""lid""",0.002,"""free""",0.002,"""poem"""
12,"0.002*""answer""","0.002*""reply""","0.002*""danish""","0.002*""kindly""","0.002*""mistake""",0.002,"""answer""",0.002,"""reply""",0.002,"""danish""",0.002,"""kindly""",0.002,"""mistake"""
13,"0.002*""elementary""","0.002*""automatically""","0.002*""answer""","0.002*""school""","0.001*""baby""",0.002,"""elementary""",0.002,"""automatically""",0.002,"""answer""",0.002,"""school""",0.001,"""baby"""
14,"0.001*""response""","0.002*""public""","0.001*""out""","0.002*""join""","0.001*""tell""",0.001,"""response""",0.002,"""public""",0.001,"""out""",0.002,"""join""",0.001,"""tell"""
15,"0.001*""tried""","0.002*""contact""","0.001*""dialog""","0.002*""others""","0.001*""room""",0.001,"""tried""",0.002,"""contact""",0.001,"""dialog""",0.002,"""others""",0.001,"""room"""
16,"0.001*""school""","0.002*""subreddit""","0.001*""explaining""","0.002*""section""","0.001*""asked""",0.001,"""school""",0.002,"""subreddit""",0.001,"""explaining""",0.002,"""section""",0.001,"""asked"""
17,"0.001*""google""","0.002*""performed""","0.001*""in""","0.002*""redundancy""","0.001*""try""",0.001,"""google""",0.002,"""performed""",0.001,"""in""",0.002,"""redundancy""",0.001,"""try"""
18,"0.001*""know""","0.002*""please""","0.001*""creative""","0.002*""idea""","0.001*""see""",0.001,"""know""",0.002,"""please""",0.001,"""creative""",0.002,"""idea""",0.001,"""see"""
19,"0.001*""embarrassing""","0.002*""concern""","0.001*""instead""","0.002*""ignore""","0.001*""hmmm""",0.001,"""embarrassing""",0.002,"""concern""",0.001,"""instead""",0.002,"""ignore""",0.001,"""hmmm"""
