,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.018*""essay""","0.067*""nan""","0.015*""thanks""","0.017*""text""","0.020*""lol""",0.018,"""essay""",0.067,"""nan""",0.015,"""thanks""",0.017,"""text""",0.020,"""lol"""
1,"0.012*""comment""","0.015*""nothing""","0.015*""job""","0.012*""idea""","0.014*""lesson""",0.012,"""comment""",0.015,"""nothing""",0.015,"""job""",0.012,"""idea""",0.014,"""lesson"""
2,"0.011*""model""","0.014*""human""","0.013*""teacher""","0.012*""system""","0.014*""plan""",0.011,"""model""",0.014,"""human""",0.013,"""teacher""",0.012,"""system""",0.014,"""plan"""
3,"0.011*""something""","0.013*""paragraph""","0.011*""point""","0.011*""problem""","0.013*""book""",0.011,"""something""",0.013,"""paragraph""",0.011,"""point""",0.011,"""problem""",0.013,"""book"""
4,"0.011*""word""","0.013*""email""","0.010*""answer""","0.010*""sentence""","0.012*""person""",0.011,"""word""",0.013,"""email""",0.010,"""answer""",0.010,"""sentence""",0.012,"""person"""
5,"0.011*""calculator""","0.010*""difference""","0.010*""story""","0.007*""education""","0.011*""gpt""",0.011,"""calculator""",0.010,"""difference""",0.010,"""story""",0.007,"""education""",0.011,"""gpt"""
6,"0.010*""paper""","0.010*""phone""","0.010*""year""","0.007*""data""","0.011*""everyone""",0.010,"""paper""",0.010,"""phone""",0.010,"""year""",0.007,"""data""",0.011,"""everyone"""
7,"0.010*""class""","0.010*""work""","0.009*""game""","0.007*""opinion""","0.011*""anyone""",0.010,"""class""",0.010,"""work""",0.009,"""game""",0.007,"""opinion""",0.011,"""anyone"""
8,"0.009*""anything""","0.010*""goal""","0.008*""technology""","0.007*""error""","0.010*""order""",0.009,"""anything""",0.010,"""goal""",0.008,"""technology""",0.007,"""error""",0.010,"""order"""
9,"0.009*""teacher""","0.010*""purpose""","0.008*""school""","0.007*""experience""","0.009*""tool""",0.009,"""teacher""",0.010,"""purpose""",0.008,"""school""",0.007,"""experience""",0.009,"""tool"""
10,"0.009*""writing""","0.009*""month""","0.007*""kid""","0.007*""tool""","0.009*""art""",0.009,"""writing""",0.009,"""month""",0.007,"""kid""",0.007,"""tool""",0.009,"""art"""
11,"0.008*""response""","0.009*""link""","0.007*""life""","0.007*""money""","0.009*""request""",0.008,"""response""",0.009,"""link""",0.007,"""life""",0.007,"""money""",0.009,"""request"""
12,"0.008*""source""","0.008*""country""","0.007*""someone""","0.007*""use""","0.009*""home""",0.008,"""source""",0.008,"""country""",0.007,"""someone""",0.007,"""use""",0.009,"""home"""
13,"0.008*""work""","0.008*""memory""","0.006*""tech""","0.007*""argument""","0.008*""society""",0.008,"""work""",0.008,"""memory""",0.006,"""tech""",0.007,"""argument""",0.008,"""society"""
14,"0.008*""post""","0.008*""feature""","0.006*""end""","0.007*""number""","0.008*""letter""",0.008,"""post""",0.008,"""feature""",0.006,"""end""",0.007,"""number""",0.008,"""letter"""
15,"0.008*""math""","0.007*""degree""","0.006*""work""","0.006*""lot""","0.007*""code""",0.008,"""math""",0.007,"""degree""",0.006,"""work""",0.006,"""lot""",0.007,"""code"""
16,"0.007*""school""","0.007*""course""","0.006*""something""","0.006*""rule""","0.007*""page""",0.007,"""school""",0.007,"""course""",0.006,"""something""",0.006,"""rule""",0.007,"""page"""
17,"0.007*""assignment""","0.007*""humanity""","0.006*""one""","0.006*""solution""","0.006*""service""",0.007,"""assignment""",0.007,"""humanity""",0.006,"""one""",0.006,"""solution""",0.006,"""service"""
18,"0.007*""language""","0.006*""university""","0.006*""character""","0.006*""step""","0.006*""application""",0.007,"""language""",0.006,"""university""",0.006,"""character""",0.006,"""step""",0.006,"""application"""
19,"0.007*""chatgpt""","0.006*""today""","0.006*""world""","0.006*""everything""","0.006*""cost""",0.007,"""chatgpt""",0.006,"""today""",0.006,"""world""",0.006,"""everything""",0.006,"""cost"""
