,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.002*""go""","0.004*""nan""","0.004*""nan""","0.003*""teacher""","0.004*""discord""",0.002,"""go""",0.004,"""nan""",0.004,"""nan""",0.003,"""teacher""",0.004,"""discord"""
1,"0.002*""lol""","0.003*""new""","0.002*""strawman""","0.003*""harvard""","0.003*""wow""",0.002,"""lol""",0.003,"""new""",0.002,"""strawman""",0.003,"""harvard""",0.003,"""wow"""
2,"0.002*""haha""","0.003*""time""","0.002*""homework""","0.002*""assignment""","0.003*""repetitive""",0.002,"""haha""",0.003,"""time""",0.002,"""homework""",0.002,"""assignment""",0.003,"""repetitive"""
3,"0.002*""nan""","0.003*""blast""","0.002*""would""","0.002*""level""","0.003*""friendly""",0.002,"""nan""",0.003,"""blast""",0.002,"""would""",0.002,"""level""",0.003,"""friendly"""
4,"0.002*""homework""","0.003*""finleyt""","0.002*""level""","0.002*""power""","0.003*""multiple""",0.002,"""homework""",0.003,"""finleyt""",0.002,"""level""",0.002,"""power""",0.003,"""multiple"""
5,"0.002*""still""","0.003*""edchat""","0.002*""paper""","0.002*""school""","0.002*""request""",0.002,"""still""",0.003,"""edchat""",0.002,"""paper""",0.002,"""school""",0.002,"""request"""
6,"0.002*""elmwoodpark""","0.003*""use""","0.002*""highschool""","0.002*""get""","0.002*""well""",0.002,"""elmwoodpark""",0.003,"""use""",0.002,"""highschool""",0.002,"""get""",0.002,"""well"""
7,"0.002*""remoteschool""","0.003*""ukedchat""","0.002*""exceeds""","0.002*""right""","0.002*""please""",0.002,"""remoteschool""",0.003,"""ukedchat""",0.002,"""exceeds""",0.002,"""right""",0.002,"""please"""
8,"0.002*""remote""","0.003*""edtech""","0.002*""bit""","0.002*""highschool""","0.002*""prevent""",0.002,"""remote""",0.003,"""edtech""",0.002,"""bit""",0.002,"""highschool""",0.002,"""prevent"""
9,"0.002*""theremoteschool""","0.003*""save""","0.002*""useless""","0.002*""report""","0.002*""user""",0.002,"""theremoteschool""",0.003,"""save""",0.002,"""useless""",0.002,"""report""",0.002,"""user"""
10,"0.002*""socialmedia""","0.003*""teacher""","0.002*""assignment""","0.002*""much""","0.002*""server""",0.002,"""socialmedia""",0.003,"""teacher""",0.002,"""assignment""",0.002,"""much""",0.002,"""server"""
11,"0.002*""incomparable""","0.003*""brain""","0.002*""gpt""","0.002*""update""","0.002*""reply""",0.002,"""incomparable""",0.003,"""brain""",0.002,"""gpt""",0.002,"""update""",0.002,"""reply"""
12,"0.002*""cheated""","0.003*""teaching""","0.002*""merit""","0.002*""since""","0.002*""subreddit""",0.002,"""cheated""",0.003,"""teaching""",0.002,"""merit""",0.002,"""since""",0.002,"""subreddit"""
13,"0.002*""thanks""","0.002*""english""","0.002*""quit""","0.002*""tough""","0.002*""performed""",0.002,"""thanks""",0.002,"""english""",0.002,"""quit""",0.002,"""tough""",0.002,"""performed"""
14,"0.002*""clone""","0.002*""ooh""","0.001*""learning""","0.002*""master""","0.002*""contact""",0.002,"""clone""",0.002,"""ooh""",0.001,"""learning""",0.002,"""master""",0.002,"""contact"""
15,"0.002*""solution""","0.002*""school""","0.001*""writing""","0.002*""student""","0.002*""experiment""",0.002,"""solution""",0.002,"""school""",0.001,"""writing""",0.002,"""student""",0.002,"""experiment"""
16,"0.002*""highschool""","0.002*""assignment""","0.001*""done""","0.002*""unlock""","0.002*""moderator""",0.002,"""highschool""",0.002,"""assignment""",0.001,"""done""",0.002,"""unlock""",0.002,"""moderator"""
17,"0.002*""interview""","0.002*""job""","0.001*""technology""","0.002*""tackle""","0.002*""automatically""",0.002,"""interview""",0.002,"""job""",0.001,"""technology""",0.002,"""tackle""",0.002,"""automatically"""
18,"0.002*""released""","0.002*""smart""","0.001*""might""","0.002*""world""","0.002*""gpt""",0.002,"""released""",0.002,"""smart""",0.001,"""might""",0.002,"""world""",0.002,"""gpt"""
19,"0.002*""case""","0.002*""idea""","0.001*""v""","0.002*""utilize""","0.002*""agree""",0.002,"""case""",0.002,"""idea""",0.001,"""v""",0.002,"""utilize""",0.002,"""agree"""
