,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.022*""essay""","0.020*""model""","0.011*""idea""","0.027*""comment""","0.052*""nan""",0.022,"""essay""",0.020,"""model""",0.011,"""idea""",0.027,"""comment""",0.052,"""nan"""
1,"0.020*""source""","0.017*""post""","0.010*""tool""","0.014*""anything""","0.020*""lol""",0.020,"""source""",0.017,"""post""",0.010,"""tool""",0.014,"""anything""",0.020,"""lol"""
2,"0.019*""school""","0.015*""language""","0.010*""text""","0.014*""person""","0.014*""sentence""",0.019,"""school""",0.015,"""language""",0.010,"""text""",0.014,"""person""",0.014,"""sentence"""
3,"0.019*""teacher""","0.013*""output""","0.010*""calculator""","0.013*""something""","0.010*""email""",0.019,"""teacher""",0.013,"""output""",0.010,"""calculator""",0.013,"""something""",0.010,"""email"""
4,"0.017*""kid""","0.010*""lesson""","0.009*""point""","0.010*""game""","0.010*""life""",0.017,"""kid""",0.010,"""lesson""",0.009,"""point""",0.010,"""game""",0.010,"""life"""
5,"0.016*""word""","0.010*""version""","0.009*""problem""","0.009*""order""","0.009*""video""",0.016,"""word""",0.010,"""version""",0.009,"""problem""",0.009,"""order""",0.009,"""video"""
6,"0.015*""paper""","0.008*""plan""","0.009*""job""","0.009*""everyone""","0.009*""year""",0.015,"""paper""",0.008,"""plan""",0.009,"""job""",0.009,"""everyone""",0.009,"""year"""
7,"0.015*""class""","0.008*""user""","0.009*""thanks""","0.009*""thought""","0.009*""mind""",0.015,"""class""",0.008,"""user""",0.009,"""thanks""",0.009,"""thought""",0.009,"""mind"""
8,"0.015*""plagiarism""","0.008*""gpt""","0.009*""essay""","0.008*""bit""","0.008*""shit""",0.015,"""plagiarism""",0.008,"""gpt""",0.009,"""essay""",0.008,"""bit""",0.008,"""shit"""
9,"0.014*""work""","0.008*""software""","0.008*""work""","0.008*""week""","0.008*""matter""",0.014,"""work""",0.008,"""software""",0.008,"""work""",0.008,"""week""",0.008,"""matter"""
10,"0.014*""chatgpt""","0.008*""grade""","0.008*""teacher""","0.008*""service""","0.008*""computer""",0.014,"""chatgpt""",0.008,"""grade""",0.008,"""teacher""",0.008,"""service""",0.008,"""computer"""
11,"0.013*""answer""","0.008*""code""","0.007*""math""","0.008*""phone""","0.007*""parent""",0.013,"""answer""",0.008,"""code""",0.007,"""math""",0.008,"""phone""",0.007,"""parent"""
12,"0.011*""assignment""","0.008*""concern""","0.007*""response""","0.008*""issue""","0.007*""thread""",0.011,"""assignment""",0.008,"""concern""",0.007,"""response""",0.008,"""issue""",0.007,"""thread"""
13,"0.010*""homework""","0.008*""machine""","0.007*""something""","0.007*""share""","0.007*""end""",0.010,"""homework""",0.008,"""machine""",0.007,"""something""",0.007,"""share""",0.007,"""end"""
14,"0.009*""opinion""","0.008*""chat""","0.007*""someone""","0.007*""anyone""","0.007*""case""",0.009,"""opinion""",0.008,"""chat""",0.007,"""someone""",0.007,"""anyone""",0.007,"""case"""
15,"0.009*""college""","0.008*""image""","0.007*""day""","0.007*""yeah""","0.007*""statement""",0.009,"""college""",0.008,"""image""",0.007,"""day""",0.007,"""yeah""",0.007,"""statement"""
16,"0.007*""value""","0.007*""others""","0.007*""lot""","0.007*""reason""","0.007*""guy""",0.007,"""value""",0.007,"""others""",0.007,"""lot""",0.007,"""reason""",0.007,"""guy"""
17,"0.007*""education""","0.007*""error""","0.006*""school""","0.007*""course""","0.006*""nothing""",0.007,"""education""",0.007,"""error""",0.006,"""school""",0.007,"""course""",0.006,"""nothing"""
18,"0.006*""detection""","0.007*""server""","0.006*""writing""","0.007*""form""","0.006*""limit""",0.006,"""detection""",0.007,"""server""",0.006,"""writing""",0.007,"""form""",0.006,"""limit"""
19,"0.006*""one""","0.007*""art""","0.006*""data""","0.007*""book""","0.006*""website""",0.006,"""one""",0.007,"""art""",0.006,"""data""",0.007,"""book""",0.006,"""website"""
