,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.026*""essay""","0.010*""something""","0.066*""nan""","0.014*""model""","0.019*""text""",0.026,"""essay""",0.010,"""something""",0.066,"""nan""",0.014,"""model""",0.019,"""text"""
1,"0.025*""teacher""","0.009*""anything""","0.035*""comment""","0.014*""language""","0.014*""thanks""",0.025,"""teacher""",0.009,"""anything""",0.035,"""comment""",0.014,"""language""",0.014,"""thanks"""
2,"0.020*""school""","0.008*""detector""","0.013*""concern""","0.013*""post""","0.013*""idea""",0.020,"""school""",0.008,"""detector""",0.013,"""concern""",0.013,"""post""",0.013,"""idea"""
3,"0.017*""class""","0.008*""code""","0.013*""user""","0.012*""ai""","0.012*""lol""",0.017,"""class""",0.008,"""code""",0.013,"""user""",0.012,"""ai""",0.012,"""lol"""
4,"0.017*""kid""","0.008*""person""","0.012*""character""","0.012*""sentence""","0.010*""point""",0.017,"""kid""",0.008,"""person""",0.012,"""character""",0.012,"""sentence""",0.010,"""point"""
5,"0.016*""calculator""","0.008*""issue""","0.012*""output""","0.009*""email""","0.008*""book""",0.016,"""calculator""",0.008,"""issue""",0.012,"""output""",0.009,"""email""",0.008,"""book"""
6,"0.016*""work""","0.007*""kind""","0.012*""order""","0.008*""step""","0.007*""data""",0.016,"""work""",0.007,"""kind""",0.012,"""order""",0.008,"""step""",0.007,"""data"""
7,"0.013*""paper""","0.007*""everything""","0.012*""server""","0.008*""one""","0.007*""day""",0.013,"""paper""",0.007,"""everything""",0.012,"""server""",0.008,"""one""",0.007,"""day"""
8,"0.012*""assignment""","0.006*""story""","0.012*""error""","0.007*""matter""","0.007*""human""",0.012,"""assignment""",0.006,"""story""",0.012,"""error""",0.007,"""matter""",0.007,"""human"""
9,"0.012*""math""","0.006*""nothing""","0.012*""others""","0.007*""difference""","0.007*""answer""",0.012,"""math""",0.006,"""nothing""",0.012,"""others""",0.007,"""difference""",0.007,"""answer"""
10,"0.011*""problem""","0.006*""style""","0.011*""action""","0.007*""shit""","0.006*""technology""",0.011,"""problem""",0.006,"""style""",0.011,"""action""",0.007,"""shit""",0.006,"""technology"""
11,"0.011*""job""","0.006*""game""","0.011*""discord""","0.007*""input""","0.006*""gpt""",0.011,"""job""",0.006,"""game""",0.011,"""discord""",0.007,"""input""",0.006,"""gpt"""
12,"0.011*""tool""","0.006*""work""","0.011*""request""","0.006*""method""","0.006*""project""",0.011,"""tool""",0.006,"""work""",0.011,"""request""",0.006,"""method""",0.006,"""project"""
13,"0.010*""source""","0.006*""example""","0.011*""lesson""","0.006*""copy""","0.006*""anyone""",0.010,"""source""",0.006,"""example""",0.011,"""lesson""",0.006,"""copy""",0.006,"""anyone"""
14,"0.010*""year""","0.005*""content""","0.011*""name""","0.006*""document""","0.006*""lot""",0.010,"""year""",0.005,"""content""",0.011,"""name""",0.006,"""document""",0.006,"""lot"""
15,"0.010*""chatgpt""","0.005*""information""","0.010*""everyone""","0.006*""reason""","0.006*""sense""",0.010,"""chatgpt""",0.005,"""information""",0.010,"""everyone""",0.006,"""reason""",0.006,"""sense"""
16,"0.009*""response""","0.005*""paragraph""","0.010*""subreddit""","0.006*""thread""","0.005*""someone""",0.009,"""response""",0.005,"""paragraph""",0.010,"""subreddit""",0.006,"""thread""",0.005,"""someone"""
17,"0.009*""grade""","0.005*""skill""","0.010*""yeah""","0.006*""word""","0.005*""link""",0.009,"""grade""",0.005,"""skill""",0.010,"""yeah""",0.006,"""word""",0.005,"""link"""
18,"0.009*""word""","0.005*""case""","0.009*""moderator""","0.006*""detection""","0.005*""something""",0.009,"""word""",0.005,"""case""",0.009,"""moderator""",0.006,"""detection""",0.005,"""something"""
19,"0.009*""education""","0.005*""software""","0.009*""plan""","0.006*""money""","0.005*""writing""",0.009,"""education""",0.005,"""software""",0.009,"""plan""",0.006,"""money""",0.005,"""writing"""
