,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.005*""post""","0.031*""nan""","0.006*""user""","0.008*""post""","0.005*""thanks""",0.005,"""post""",0.031,"""nan""",0.006,"""user""",0.008,"""post""",0.005,"""thanks"""
1,"0.004*""chat""","0.010*""deleted""","0.005*""reply""","0.006*""claude""","0.004*""yeah""",0.004,"""chat""",0.010,"""deleted""",0.005,"""reply""",0.006,"""claude""",0.004,"""yeah"""
2,"0.004*""similar""","0.004*""dan""","0.005*""server""","0.005*""anthropic""","0.003*""see""",0.004,"""similar""",0.004,"""dan""",0.005,"""server""",0.005,"""anthropic""",0.003,"""see"""
3,"0.004*""redundancy""","0.004*""oh""","0.005*""well""","0.005*""llama""","0.003*""really""",0.004,"""redundancy""",0.004,"""oh""",0.005,"""well""",0.005,"""llama""",0.003,"""really"""
4,"0.004*""section""","0.003*""cool""","0.005*""yes""","0.005*""addition""","0.003*""want""",0.004,"""section""",0.003,"""cool""",0.005,"""yes""",0.005,"""addition""",0.003,"""want"""
5,"0.004*""avoid""","0.003*""essay""","0.005*""lol""","0.005*""perplexity""","0.003*""word""",0.004,"""avoid""",0.003,"""essay""",0.005,"""lol""",0.005,"""perplexity""",0.003,"""word"""
6,"0.004*""may""","0.003*""still""","0.005*""multiple""","0.005*""bing""","0.003*""much""",0.004,"""may""",0.003,"""still""",0.005,"""multiple""",0.005,"""bing""",0.003,"""much"""
7,"0.004*""try""","0.003*""right""","0.005*""friendly""","0.005*""image""","0.002*""said""",0.004,"""try""",0.003,"""right""",0.005,"""friendly""",0.005,"""image""",0.002,"""said"""
8,"0.003*""respond""","0.002*""really""","0.004*""discord""","0.005*""others""","0.002*""point""",0.003,"""respond""",0.002,"""really""",0.004,"""discord""",0.005,"""others""",0.002,"""point"""
9,"0.003*""bing""","0.002*""got""","0.004*""order""","0.005*""generator""","0.002*""something""",0.003,"""bing""",0.002,"""got""",0.004,"""order""",0.005,"""generator""",0.002,"""something"""
10,"0.003*""output""","0.002*""ca""","0.004*""request""","0.005*""generate""","0.002*""thank""",0.003,"""output""",0.002,"""ca""",0.004,"""request""",0.005,"""generate""",0.002,"""thank"""
11,"0.003*""generate""","0.002*""hear""","0.004*""experiment""","0.005*""kindly""","0.002*""got""",0.003,"""generate""",0.002,"""hear""",0.004,"""experiment""",0.005,"""kindly""",0.002,"""got"""
12,"0.003*""u""","0.002*""version""","0.004*""give""","0.004*""email""","0.002*""text""",0.003,"""u""",0.002,"""version""",0.004,"""give""",0.004,"""email""",0.002,"""text"""
13,"0.003*""free""","0.002*""blind""","0.004*""repetitive""","0.004*""try""","0.002*""love""",0.003,"""free""",0.002,"""blind""",0.004,"""repetitive""",0.004,"""try""",0.002,"""love"""
14,"0.003*""source""","0.002*""game""","0.004*""free""","0.004*""ignore""","0.002*""brain""",0.003,"""source""",0.002,"""game""",0.004,"""free""",0.004,"""ignore""",0.002,"""brain"""
15,"0.003*""join""","0.002*""sentient""","0.004*""moderator""","0.004*""join""","0.002*""post""",0.003,"""join""",0.002,"""sentient""",0.004,"""moderator""",0.004,"""join""",0.002,"""post"""
16,"0.003*""generator""","0.002*""jailbreak""","0.004*""performed""","0.004*""support""","0.002*""fine""",0.003,"""generator""",0.002,"""jailbreak""",0.004,"""performed""",0.004,"""support""",0.002,"""fine"""
17,"0.003*""image""","0.002*""give""","0.004*""subreddit""","0.004*""respond""","0.002*""though""",0.003,"""image""",0.002,"""give""",0.004,"""subreddit""",0.004,"""respond""",0.002,"""though"""
18,"0.003*""ignore""","0.002*""go""","0.004*""automatically""","0.004*""psa""","0.002*""result""",0.003,"""ignore""",0.002,"""go""",0.004,"""automatically""",0.004,"""psa""",0.002,"""result"""
19,"0.003*""others""","0.002*""weird""","0.004*""action""","0.004*""universe""","0.002*""limit""",0.003,"""others""",0.002,"""weird""",0.004,"""action""",0.004,"""universe""",0.002,"""limit"""
