,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.003*""book""","0.004*""box""","0.004*""book""","0.015*""nan""","0.005*""room""",0.003,"""book""",0.004,"""box""",0.004,"""book""",0.015,"""nan""",0.005,"""room"""
1,"0.003*""read""","0.003*""elementary""","0.003*""post""","0.003*""math""","0.005*""book""",0.003,"""read""",0.003,"""elementary""",0.003,"""post""",0.003,"""math""",0.005,"""book"""
2,"0.002*""tell""","0.003*""apple""","0.003*""room""","0.003*""calculator""","0.003*""deleted""",0.002,"""tell""",0.003,"""apple""",0.003,"""room""",0.003,"""calculator""",0.003,"""deleted"""
3,"0.002*""trick""","0.002*""blue""","0.002*""u""","0.002*""book""","0.003*""still""",0.002,"""trick""",0.002,"""blue""",0.002,"""u""",0.002,"""book""",0.003,"""still"""
4,"0.002*""step""","0.002*""school""","0.002*""try""","0.002*""elementary""","0.003*""student""",0.002,"""step""",0.002,"""school""",0.002,"""try""",0.002,"""elementary""",0.003,"""student"""
5,"0.002*""answer""","0.002*""bing""","0.002*""read""","0.002*""science""","0.002*""read""",0.002,"""answer""",0.002,"""bing""",0.002,"""read""",0.002,"""science""",0.002,"""read"""
6,"0.001*""park""","0.002*""red""","0.002*""please""","0.002*""mode""","0.002*""discussing""",0.001,"""park""",0.002,"""red""",0.002,"""please""",0.002,"""mode""",0.002,"""discussing"""
7,"0.001*""south""","0.002*""reply""","0.002*""server""","0.002*""gpt""","0.002*""elementary""",0.001,"""south""",0.002,"""reply""",0.002,"""server""",0.002,"""gpt""",0.002,"""elementary"""
8,"0.001*""danish""","0.002*""poem""","0.002*""discord""","0.002*""creative""","0.002*""bard""",0.001,"""danish""",0.002,"""poem""",0.002,"""discord""",0.002,"""creative""",0.002,"""bard"""
9,"0.001*""elementary""","0.002*""discord""","0.002*""chat""","0.002*""school""","0.002*""school""",0.001,"""elementary""",0.002,"""discord""",0.002,"""chat""",0.002,"""school""",0.002,"""school"""
10,"0.001*""baby""","0.002*""chat""","0.002*""generator""","0.002*""x""","0.002*""problem""",0.001,"""baby""",0.002,"""chat""",0.002,"""generator""",0.002,"""x""",0.002,"""problem"""
11,"0.001*""mind""","0.002*""prevent""","0.002*""bing""","0.002*""screenshot""","0.002*""answer""",0.001,"""mind""",0.002,"""prevent""",0.002,"""bing""",0.002,"""screenshot""",0.002,"""answer"""
12,"0.001*""consciousness""","0.002*""server""","0.002*""answer""","0.002*""teacher""","0.002*""saying""",0.001,"""consciousness""",0.002,"""server""",0.002,"""answer""",0.002,"""teacher""",0.002,"""saying"""
13,"0.001*""dumb""","0.002*""moderator""","0.002*""automatically""","0.002*""bad""","0.002*""moood""",0.001,"""dumb""",0.002,"""moderator""",0.002,"""automatically""",0.002,"""bad""",0.002,"""moood"""
14,"0.001*""write""","0.002*""lid""","0.002*""subreddit""","0.001*""xiipre""","0.002*""xd""",0.001,"""write""",0.002,"""lid""",0.002,"""subreddit""",0.001,"""xiipre""",0.002,"""xd"""
15,"0.001*""let""","0.002*""multiple""","0.002*""moderator""","0.001*""class""","0.002*""give""",0.001,"""let""",0.002,"""multiple""",0.002,"""moderator""",0.001,"""class""",0.002,"""give"""
16,"0.001*""stop""","0.002*""english""","0.002*""performed""","0.001*""immediately""","0.002*""number""",0.001,"""stop""",0.002,"""english""",0.002,"""performed""",0.001,"""immediately""",0.002,"""number"""
17,"0.001*""code""","0.002*""request""","0.002*""contact""","0.001*""drorpoleg""","0.002*""try""",0.001,"""code""",0.002,"""request""",0.002,"""contact""",0.001,"""drorpoleg""",0.002,"""try"""
18,"0.001*""purpose""","0.001*""top""","0.002*""reading""","0.001*""room""","0.001*""idea""",0.001,"""purpose""",0.001,"""top""",0.002,"""reading""",0.001,"""room""",0.001,"""idea"""
19,"0.001*""thought""","0.001*""friendly""","0.002*""public""","0.001*""holocaust""","0.001*""google""",0.001,"""thought""",0.001,"""friendly""",0.002,"""public""",0.001,"""holocaust""",0.001,"""google"""
