,0,1,2,3,4,probability-0,word-0,probability-1,word-1,probability-2,word-2,probability-3,word-3,probability-4,word-4
0,"0.002*""get""","0.003*""discord""","0.004*""teaching""","0.003*""smart""","0.010*""nan""",0.002,"""get""",0.003,"""discord""",0.004,"""teaching""",0.003,"""smart""",0.010,"""nan"""
1,"0.002*""tough""","0.003*""assignment""","0.004*""brain""","0.002*""homework""","0.003*""harvard""",0.002,"""tough""",0.003,"""assignment""",0.004,"""brain""",0.002,"""homework""",0.003,"""harvard"""
2,"0.002*""tackle""","0.003*""used""","0.004*""edtech""","0.002*""useless""","0.003*""would""",0.002,"""tackle""",0.003,"""used""",0.004,"""edtech""",0.002,"""useless""",0.003,"""would"""
3,"0.002*""master""","0.002*""action""","0.004*""use""","0.002*""might""","0.003*""went""",0.002,"""master""",0.002,"""action""",0.004,"""use""",0.002,"""might""",0.003,"""went"""
4,"0.002*""unlock""","0.002*""essay""","0.004*""blast""","0.002*""agree""","0.002*""highschool""",0.002,"""unlock""",0.002,"""essay""",0.004,"""blast""",0.002,"""agree""",0.002,"""highschool"""
5,"0.002*""student""","0.002*""free""","0.004*""edchat""","0.002*""essay""","0.002*""strawman""",0.002,"""student""",0.002,"""free""",0.004,"""edchat""",0.002,"""essay""",0.002,"""strawman"""
6,"0.002*""incomparable""","0.002*""request""","0.004*""finleyt""","0.002*""ooh""","0.002*""learning""",0.002,"""incomparable""",0.002,"""request""",0.004,"""finleyt""",0.002,"""ooh""",0.002,"""learning"""
7,"0.002*""using""","0.002*""repetitive""","0.004*""ukedchat""","0.002*""indeed""","0.002*""economics""",0.002,"""using""",0.002,"""repetitive""",0.004,"""ukedchat""",0.002,"""indeed""",0.002,"""economics"""
8,"0.002*""concept""","0.002*""multiple""","0.004*""save""","0.002*""written""","0.002*""senior""",0.002,"""concept""",0.002,"""multiple""",0.004,"""save""",0.002,"""written""",0.002,"""senior"""
9,"0.002*""guide""","0.002*""friendly""","0.004*""time""","0.002*""world""","0.002*""level""",0.002,"""guide""",0.002,"""friendly""",0.004,"""time""",0.002,"""world""",0.002,"""level"""
10,"0.002*""utilize""","0.002*""gpt""","0.004*""teen""","0.002*""report""","0.002*""clone""",0.002,"""utilize""",0.002,"""gpt""",0.004,"""teen""",0.002,"""report""",0.002,"""clone"""
11,"0.002*""power""","0.002*""done""","0.004*""mentalhealth""","0.002*""full""","0.002*""remotecollege""",0.002,"""power""",0.002,"""done""",0.004,"""mentalhealth""",0.002,"""full""",0.002,"""remotecollege"""
12,"0.002*""professor""","0.002*""well""","0.004*""teacher""","0.002*""includes""","0.002*""crisis""",0.002,"""professor""",0.002,"""well""",0.004,"""teacher""",0.002,"""includes""",0.002,"""crisis"""
13,"0.002*""jontfila""","0.002*""user""","0.003*""new""","0.002*""never""","0.002*""remoteeducation""",0.002,"""jontfila""",0.002,"""user""",0.003,"""new""",0.002,"""never""",0.002,"""remoteeducation"""
14,"0.002*""excelling""","0.002*""please""","0.003*""bigtech""","0.002*""ask""","0.002*""mentalhealth""",0.002,"""excelling""",0.002,"""please""",0.003,"""bigtech""",0.002,"""ask""",0.002,"""mentalhealth"""
15,"0.002*""interview""","0.002*""performed""","0.003*""reckoning""","0.002*""threat""","0.002*""solution""",0.002,"""interview""",0.002,"""performed""",0.003,"""reckoning""",0.002,"""threat""",0.002,"""solution"""
16,"0.002*""good""","0.002*""reply""","0.003*""remoteeducation""","0.002*""released""","0.002*""teen""",0.002,"""good""",0.002,"""reply""",0.003,"""remoteeducation""",0.002,"""released""",0.002,"""teen"""
17,"0.002*""much""","0.002*""contact""","0.003*""remotecollege""","0.002*""prophet""","0.002*""reckoning""",0.002,"""much""",0.002,"""contact""",0.003,"""remotecollege""",0.002,"""prophet""",0.002,"""reckoning"""
18,"0.002*""u""","0.002*""automatically""","0.003*""crisis""","0.002*""failed""","0.002*""bigtech""",0.002,"""u""",0.002,"""automatically""",0.003,"""crisis""",0.002,"""failed""",0.002,"""bigtech"""
19,"0.002*""williams""","0.002*""prevent""","0.003*""remoteschool""","0.002*""college""","0.002*""country""",0.002,"""williams""",0.002,"""prevent""",0.003,"""remoteschool""",0.002,"""college""",0.002,"""country"""
